,rb?,te?,age,max_ppg,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,Breakout Age,cdr,id,year
524,0,0,27.4,13.6714,11.6889,11.0201,0.0,1.05,18.7,51.6,Corey Davis,2022.0
525,0,0,30.4,,,,,,20.7,48.3,Corey Washington,2022.0
526,0,0,26.6,13.9,8.8376,10.779200000000001,0.0,2.08,19.9,36.9,Courtland Sutton,2022.0
527,0,0,39.4,,,,,3.04,19.7,46.7,Courtney Roby,2022.0
528,0,0,25.8,14.14,1.96,8.933333333333334,0.0,2.08,20.1,29.0,Curtis Samuel,2022.0
529,0,0,25.2,2.83,2.83,2.83,0.0,2.24,20.5,44.6,D'Wayne Eskridge,2022.0
530,0,0,25.7,14.9,8.6,11.7718,0.0,2.29,20.0,25.3,D.J. Chark,2022.0
531,0,0,27.1,2.2,2.2,2.2,0.0,,22.4,42.7,D.J. Montgomery,2022.0
532,0,0,25.1,15.4,13.9706,14.4902,0.3333333333333333,1.24,18.4,53.3,D.J. Moore,2022.0
533,0,0,24.5,16.9563,14.3706,14.308966666666668,0.3333333333333333,2.32,19.7,26.4,D.K. Metcalf,2022.0
534,0,0,26.8,0.9,,0.9,0.0,,,14.3,Da'Mari Scott,2022.0
535,0,0,27.2,5.3,,4.59685,0.0,4.13,19.5,25.4,DaeSean Hamilton,2022.0
536,0,0,32.5,,,,,,18.8,22.6,Damaris Johnson,2022.0
537,0,0,29.3,7.1812,3.8176,5.832933333333333,0.0,,20.6,12.5,Damiere Byrd,2022.0
538,0,0,27.1,4.2,,3.13,0.0,6.01,22.4,24.3,Damion Ratley,2022.0
539,0,0,24.9,2.5,,2.5,0.0,,21.2,42.1,Damion Willis,2022.0
540,0,0,33.6,,,,,,20.9,34.3,Dane Sanzenbacher,2022.0
541,0,0,28.7,,,,,7.09,19.9,40.0,Daniel Braverman,2022.0
542,0,0,36.6,9.4,8.6,8.533333333333333,0.0,,,16.1,Danny Amendola,2022.0
543,0,0,26.6,8.4467,8.4467,4.8251,0.0,2.12,20.9,31.6,Dante Pettis,2022.0
544,0,0,29.9,0.5,,0.5,0.0,,21.2,19.0,Darius Jennings,2022.0
545,0,0,28.2,,,,,,,14.8,Darius Powe,2022.0
546,0,0,25.4,12.1,5.2769,8.729800000000001,0.0,5.33,20.7,25.4,Darius Slayton,2022.0
547,0,0,24.6,12.9235,12.9235,11.21485,0.0,5.28,18.9,36.5,Darnell Mooney,2022.0
548,0,0,35.3,,,,,1.07,19.5,30.6,Darrius Heyward-Bey,2022.0
549,0,0,26.6,0.95,,0.375,0.0,,20.8,35.2,Darrius Shepherd,2022.0
550,0,0,27.2,,,,,,22.5,38.5,Darvin Kidsy,2022.0
551,0,0,26.4,0.86,0.0,0.43,0.0,5.22,19.7,36.8,Daurice Fountain,2022.0
552,0,0,29.4,25.6,21.5188,21.572933333333335,1.0,2.21,19.7,40.7,Davante Adams,2022.0
553,0,0,27.4,7.425,0.0,4.008333333333333,0.0,7.08,19.6,39.1,David Moore,2022.0
554,0,0,35.6,,,,,,,9.9,David Nelson,2022.0
555,0,0,26.0,0.925,0.925,0.925,0.0,,20.3,33.9,David Sills,2022.0
556,0,0,25.6,1.35,1.35,1.35,0.0,,20.9,36.8,Davion Davis,2022.0
557,0,0,22.9,1.1846,1.1846,1.1846,0.0,7.3,21.2,26.7,Dax Milne,2022.0
558,0,0,23.0,1.4333,1.4333,1.4333,0.0,6.36,20.3,23.9,Dazz Newsome,2022.0
