,y,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr
1063,0,0,1,24.7,174.0,149.15,124.30000000000001,11.45,0.8125,11.0,0.0,1.23,22.0,29.5
1064,0,0,1,22.1,,,,,,,,4.35,,12.3
1066,0,0,1,31.0,79.8,49.39999999999999,25.6,4.833333333333333,0.6,8.0,0.0,,,3.9
1072,0,0,1,25.7,55.800000000000004,18.450000000000003,55.800000000000004,3.0333333333333337,0.34375,9.0,0.0,7.29,,4.9
1073,0,0,1,25.6,256.0,181.25,256.0,11.55,0.96875,16.0,0.0,5.02,21.9,23.2
1075,0,0,1,24.9,84.0,68.0,84.0,4.8,0.875,15.0,0.0,2.12,21.2,31.7
1077,0,0,1,34.2,227.2,154.98,80.10000000000001,9.233333333333334,0.8,9.0,0.0,1.31,20.5,16.7
1080,0,0,1,22.8,,,,,,,,,,11.5
1082,0,0,1,25.8,35.1,35.1,35.1,3.9,0.5625,9.0,0.0,1.25,,15.6
1086,0,0,1,24.5,130.0,128.6,,10.3,0.78125,,0.0,2.04,18.7,20.1
1090,0,0,1,23.0,81.0,81.0,81.0,8.1,0.625,10.0,0.0,4.01,,19.1
1092,0,0,1,20.8,,,,,,,,2.18,,14.0
1093,0,0,1,22.0,,,,,,,,7.1,,13.9
1094,0,0,1,22.4,,,,,,,,2.25,19.7,42.7
1095,0,0,1,25.7,,,,,,,,,,16.6
1097,0,0,1,22.9,,,,,,,,3.11,22.2,32.7
1098,0,0,1,29.1,169.5,88.62,60.599999999999994,10.166666666666666,0.7,6.0,0.0,,20.3,23.9
1101,0,0,1,25.5,9.2,9.1,9.2,2.8,0.34375,2.0,0.0,,22.8,23.4
1103,0,0,1,23.6,,,,,,,,,,18.1
1108,0,0,1,27.4,44.800000000000004,23.9,44.800000000000004,1.9333333333333333,0.625,14.0,0.0,5.37,22.6,22.2
1109,0,0,1,32.1,193.6,123.2,193.6,9.200000000000001,0.925,16.0,0.0,3.25,21.4,17.4
1112,0,0,1,37.1,164.8,157.85000000000002,,9.75,0.984375,,0.0,3.05,20.3,27.0
1115,0,0,1,26.5,71.5,43.1,71.5,4.6000000000000005,0.5625,11.0,0.0,3.28,,9.3
1117,0,0,1,24.8,15.400000000000002,12.350000000000001,15.400000000000002,2.6500000000000004,0.3125,7.0,0.0,5.1,,14.2
1120,0,0,1,22.2,,,,,,,,,20.5,48.8
1121,0,0,1,25.0,98.0,73.175,84.0,6.099999999999999,0.78125,15.0,0.0,5.24,19.3,18.1
1123,0,0,1,32.5,229.5,168.01999999999998,131.2,10.2,0.925,16.0,0.0,3.31,22.8,15.9
1128,0,0,1,24.5,1.5,1.5,1.5,1.5,0.0625,1.0,0.0,,,13.5
1129,0,0,1,23.8,63.599999999999994,54.55,63.599999999999994,4.4,0.78125,12.0,0.0,3.36,18.0,33.0
1130,0,0,1,27.1,39.199999999999996,39.199999999999996,39.199999999999996,2.8,0.875,14.0,0.0,3.34,23.4,28.2
1134,0,0,1,26.9,230.4,144.28,61.599999999999994,7.833333333333333,0.8375,11.0,0.0,2.1,18.1,48.3
1136,0,0,1,22.8,65.8,65.8,65.8,4.7,0.875,14.0,0.0,6.37,,14.9
1138,0,0,1,29.0,61.199999999999996,41.660000000000004,40.8,3.466666666666667,0.7125,12.0,0.0,,20.3,18.1
1139,0,0,1,22.4,,,,,,,,3.05,21.7,20.6
1144,0,0,1,22.1,,,,,,,,6.03,,16.7
1152,0,0,1,29.5,209.6,141.48,152.0,10.833333333333334,0.9125,16.0,0.0,2.11,,11.5
1155,0,0,1,31.299999999999997,110.4,68.24000000000001,41.6,4.6000000000000005,0.8875,13.0,0.0,2.15,21.6,27.5
1157,0,0,1,31.5,35.2,20.4,35.2,2.866666666666667,0.5,8.0,0.0,5.28,,13.7
1158,0,0,1,27.8,64.5,43.260000000000005,52.8,4.266666666666667,0.725,11.0,0.0,4.36,20.1,21.7
1161,0,0,1,30.9,43.2,19.04,43.2,2.466666666666667,0.45,12.0,0.0,4.07,21.1,14.2
1162,0,0,1,29.4,76.80000000000001,47.519999999999996,22.0,3.366666666666667,0.7375,10.0,0.0,5.25,20.6,15.0
1163,0,0,1,35.0,86.4,45.160000000000004,7.0,3.6999999999999997,0.675,5.0,0.0,1.28,21.3,26.1
1166,0,0,1,23.7,107.2,107.2,107.2,6.7,1.0,16.0,0.0,3.22,,18.0
1171,0,0,1,26.7,54.6,19.933333333333334,54.6,2.1,0.3125,13.0,0.0,,,9.8
1175,0,0,1,25.1,65.0,32.5,37.0,2.1666666666666665,0.53125,10.0,0.0,2.23,19.4,48.8
