,Full Name,0,1,fpts_2021
278,J.J. Arcega-Whiteside,0.9948384,0.005161559,5.6
279,Shi Smith,0.99492145,0.005078531,16.099800000000002
280,Jason Huntley,0.9949227,0.005077295,5.1
281,Isaiah Coulter,0.9949227,0.005077295,0.0
282,DeeJay Dallas,0.9949227,0.005077295,60.1001
283,Joshua Kelley,0.9949227,0.005077295,17.0
284,Jesper Horsted,0.99492717,0.0050728577,16.099999999999998
285,Tevin Coleman,0.9949279,0.005072121,51.4998
286,Justin Watson,0.9949757,0.0050243386,0.0
287,Laquon Treadwell,0.99503374,0.0049662422,82.40039999999999
288,Trey Sermon,0.99506843,0.004931544,28.2996
289,Sean McKeon,0.99512374,0.0048762527,12.6999
290,Dede Westbrook,0.99514294,0.0048570903,16.8
291,Kylin Hill,0.99514914,0.0048508504,3.9
292,Kristian Wilkerson,0.9951841,0.0048159007,20.1999
293,Jared Cook,0.9952125,0.004787489,132.4
294,Chris Evans,0.99524623,0.004753763,49.799400000000006
295,D'Onta Foreman,0.99539554,0.0046044774,93.8997
296,Ameer Abdullah,0.9954148,0.004585211,89.49990000000001
297,Malcolm Brown,0.99555737,0.0044426564,22.5001
298,Charlie Woerner,0.9955737,0.004426318,10.2
299,Freddie Swain,0.9955737,0.004426318,86.4994
300,Dezmon Patmon,0.9955737,0.004426318,10.1
301,Josh Oliver,0.99563396,0.00436607,15.600200000000001
302,Trey Edmunds,0.9956561,0.004343918,0.0
303,Ito Smith,0.9956705,0.004329487,6.4
304,Auden Tate,0.99567276,0.004327237,12.9003
305,Kendrick Bourne,0.9957112,0.0042887703,180.4992
306,Ben Skowronek,0.99572533,0.004274649,24.2998
307,Rodney Adams,0.9957291,0.004270898,0.0
308,Danny Amendola,0.9958643,0.004135731,68.8
309,Adam Humphries,0.99588615,0.0041138777,79.2999
310,Jimmy Graham,0.9958983,0.004101676,50.699999999999996
311,Olamide Zaccheaus,0.9960119,0.003988079,89.8008
312,Kenny Stills,0.996022,0.0039779977,18.8994
313,Zay Jones,0.9960338,0.003966226,105.8998
314,Michael Pittman,0.9960421,0.0039579556,238.6001
315,Scott Miller,0.99605083,0.003949175,19.0998
316,Dazz Newsome,0.9960706,0.0039293724,4.2999
317,Chris Conley,0.9960927,0.0039073485,64.6
318,Nico Collins,0.9961105,0.0038894946,83.5996
319,Kenneth Gainwell,0.99617916,0.0038208577,123.4
320,Willie Snead,0.99618477,0.003815248,7.8003
321,Brian Hill,0.99622595,0.0037740257,0.0
322,Dillon Stoner,0.99625355,0.003746433,0.0
323,David Sills,0.99627745,0.0037225573,3.7
324,Adam Shaheen,0.99628216,0.0037178458,23.0004
325,David Njoku,0.99631196,0.0036880525,107.6
326,Tyrie Cleveland,0.99634504,0.0036549708,0.0
327,Mike Thomas,0.99641323,0.003586771,10.2
328,James Proche,0.99641323,0.003586771,36.1998
329,Jeremy McNichols,0.99641323,0.003586771,73.5994
330,Daurice Fountain,0.99641323,0.003586771,0.0
331,Pharoh Cooper,0.99641323,0.003586771,7.6
332,KeeSean Johnson,0.99641323,0.003586771,0.0
333,Davion Davis,0.9964596,0.0035403967,2.7
334,Damien Williams,0.99650645,0.0034935372,60.699600000000004
335,Geronimo Allison,0.9965085,0.0034915428,0.0
336,Quez Watkins,0.9965194,0.0034806428,115.9995
337,Tony Pollard,0.9965362,0.0034638285,162.6
338,Racey McMath,0.99657494,0.0034250682,0.8001
339,Tony Jones,0.9965886,0.0034114346,22.1001
340,Lil'Jordan Humphrey,0.9965886,0.0034114346,49.900000000000006
341,DeMichael Harris,0.9965886,0.0034114346,0.0
342,Van Jefferson,0.99661356,0.0033864295,168.1997
343,Dez Fitzpatrick,0.996645,0.0033550155,15.9
344,Ryquell Armstead,0.9966704,0.0033295804,12.6
345,Jody Fortson,0.9966801,0.0033199321,21.7002
346,Ethan Wolf,0.9966801,0.0033199321,2.8
347,Kendall Blanton,0.9966801,0.0033199321,7.699999999999999
348,Ian Bunting,0.9966801,0.0033199321,0.0
349,David Wells,0.9966801,0.0033199321,0.0
350,Ja'Marcus Bradley,0.99671495,0.0032850727,10.4
351,Khadarel Hodge,0.99671495,0.0032850727,30.6992
352,Adam Trautman,0.9967168,0.0032832124,63.299600000000005
353,Marquise Goodwin,0.99675626,0.0032437614,57.1998
354,MyCole Pruitt,0.99677104,0.0032289713,48.4992
355,Mekhi Sargent,0.9967815,0.0032184538,1.0997
356,Khalil Herbert,0.9968021,0.0031979033,78.9004
357,Elijah Mitchell,0.9968021,0.0031979033,165.0
358,Travis Fulgham,0.9968102,0.0031897787,0.0
359,Kyle Rudolph,0.99681085,0.003189166,59.6992
360,Jakobi Meyers,0.9968139,0.0031861009,186.3999
361,Taysom Hill,0.9968218,0.0031781907,126.72
362,DeAndre Carter,0.99683225,0.0031677329,86.4994
363,Anthony Firkser,0.99684286,0.0031571218,79.09949999999999
364,Taiwan Jones,0.9968735,0.0031265304,0.0
365,Tyron Johnson,0.99689436,0.0031056379,3.5999999999999996
366,Mason Schreck,0.99697196,0.003028015,0.0
367,Tyler Kroft,0.9969942,0.0030057803,39.3003
368,Brandon Zylstra,0.9970444,0.0029556043,48.9996
369,Jake Kumerow,0.9970444,0.0029556043,4.8
370,Devontae Booker,0.9970444,0.0029556043,144.0992
