,id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,value
167,d8598cac-2435-455d-8228-69596f8815f3,Sam,Darnold,215.8,20.5190778,QB37,QB,Carolina Panthers,48.8
168,d330fe75-a322-48a6-8405-b6ea91bfa1f4,Rashod,Bateman,57,20.4642465,WR28,WR,Baltimore Ravens,-111
169,37006fee-0ca2-4b77-a6e8-8a9de3e2cec1,Sterling,Shepard,212.6,19.96315468,WR97,WR,NY Giants,43.6
170,bd47b6e7-f8ff-4fb5-b866-b6294742f31a,David,Johnson,-,19.77020168,,RB,Houston Texans,#VALUE!
171,271a93c2-3775-4e4d-bff3-f22cbe7d4e93,Trey,McBride,214.4,19.5919505,TE32,TE,Arizona Cardinals,43.4
172,41f9b2df-6fc9-45b3-bb57-c1eb83181332,Jalen,Reagor,216,19.5889545,WR138,WR,Philadelphia Eagles,44
173,55701da9-c8f9-4686-bc96-916da04ad7af,DeVante,Parker,132.7,19.5744325,WR61,WR,New England Patriots,-40.3
174,d2b0f785-a66a-4a9e-a4a7-981c410ff57f,Rhamondre,Stevenson,121.1,18.9757917,RB38,RB,New England Patriots,-52.9
175,1d6861cd-be8b-410c-a955-ffb5b4b761a6,D.J.,Chark,148.8,18.7078905,WR67,WR,Detroit Lions,-26.2
176,b136d3c5-a1ab-440d-9278-854f6a88e660,Sammy,Watkins,182.9,18.6797485,WR81,WR,Green Bay Packers,6.9
177,762e67cf-43b5-4e89-8bd6-b3574422a611,D'Wayne,Eskridge,216,17.5136725,WR145,WR,Seattle Seahawks,39
178,63011cb0-777f-4a47-bf03-417d579b6b0d,Devontae,Booker,-,17.38712368,,RB,,#VALUE!
179,57b58b3c-832f-4981-9461-b521b67c836e,Nelson,Agholor,215.8,16.8230537,WR116,WR,New England Patriots,36.8
180,b7fb9920-b031-4007-b4f9-15d6413527d1,Darrell,Henderson,145.5,16.6699875,RB46,RB,Los Angeles Rams,-34.5
181,231dc1e5-aad9-4b0c-8c34-04b5e023c086,Julio,Jones,195,16.22224368,WR86,WR,,14
182,52eebf9e-e588-43b8-a27f-765ff03fa77c,Ty,Montgomery,-,15.6786045,,WR,New England Patriots,#VALUE!
183,e3b379c9-ba35-46db-915e-3d0962932112,T.J.,Yeldon,-,15.56024968,,RB,,#VALUE!
184,02d5920d-8bfe-443c-9fdd-3478be323b5e,Curtis,Samuel,174.6,15.4468605,WR78,WR,Washington Commanders,-9.4
185,84fdc0c2-e34b-4ef6-88cb-0f29ab1dae18,Nyheim,Hines,142,15.3684753,RB45,RB,Indianapolis Colts,-43
186,ddc64115-e017-41e7-bcf4-ea95fc8f8839,Ameer,Abdullah,-,15.0210295,,RB,Las Vegas Raiders,#VALUE!
187,53e0b811-7f47-40e9-8b6b-91311efd69b7,Allen,Robinson,48.7,14.5290645,WR24,WR,Los Angeles Rams,-138.3
188,16c8ca1c-ab73-40fa-942a-0181ecebc784,David,Njoku,150.4,14.4188945,TE18,TE,Cleveland Browns,-37.6
189,45afa77f-8510-4aa0-b15c-b705a7dec949,Ke'Shawn,Vaughn,215.6,14.3133305,RB76,RB,Tampa Bay Buccaneers,26.6
190,24ad78d6-6cfe-440b-9714-2bd77f38e41c,Boston,Scott,215.9,14.1283845,RB87,RB,Philadelphia Eagles,25.9
191,e6d2bbaa-71d1-4f1b-9745-e92d457aba7d,Jonnu,Smith,215.2,14.0120485,TE33,TE,New England Patriots,24.2
192,a942eb67-718c-4ad9-8b5e-99ff60a94253,Giovani,Bernard,216,13.7031345,RB109,RB,Tampa Bay Buccaneers,24
193,c3e07cd0-8268-43d4-a914-68975578f1d9,Jordan,Howard,-,13.5651837,,RB,Philadelphia Eagles,#VALUE!
194,aad61bd2-f7dc-4181-8b48-c46ad9495cfc,Jarvis,Landry,128.5,13.4472685,WR60,WR,New Orleans Saints,-65.5
195,9479a38d-5400-43b0-9b1d-ce6fa16289a4,Gabriel,Davis,51.8,13.2302035,WR25,WR,Buffalo Bills,-143.2
196,a33f2873-a6df-4bac-bd35-c59902688e07,Chris,Conley,-,13.1459151,,WR,Houston Texans,#VALUE!
197,6d53f0cf-d4cf-4fe5-b5f9-60585dfcb126,Tutu,Atwell,215.8,12.9894535,WR121,WR,Los Angeles Rams,18.8
198,e92ccca1-9fbe-43e0-8164-055ac68c01e7,Anthony,Miller,-,12.7235871,,WR,Pittsburgh Steelers,#VALUE!
199,7ca7eb81-2631-408f-a905-24004613adfe,Keelan,Cole,216,12.7068457,WR145,WR,NY Jets,17
200,5ca0bd63-c97e-45be-a337-c15cbb68e288,Royce,Freeman,-,12.6875591,,RB,Houston Texans,#VALUE!
201,01a03308-8295-4b53-8624-21a8f07c111b,Jalen,Tolbert,145.6,12.1466439,WR66,WR,Dallas Cowboys,-55.4
202,d85685e0-9769-4366-b73d-a4242d96e7de,Kenneth,Gainwell,160.3,11.3260079,RB48,RB,Philadelphia Eagles,-41.7
203,f31ed47b-9c24-4ac1-89c5-000c862c02f6,Jeremy,Ruckert,-,11.2958613,,TE,NY Jets,#VALUE!
204,dfa21407-6029-4f82-b27f-b50e0f55e236,Greg,Dulcich,215.5,10.8598153,TE34,TE,Denver Broncos,11.5
205,9cbe9c5d-4723-4049-80db-0c2b9712b1e9,Marcus,Mariota,211.7,10.7206866,QB29,QB,Atlanta Falcons,6.7
206,67646aeb-2ee8-4bcd-8e56-0f92372905ea,Robby,Anderson,168.2,10.3763041,WR74,WR,Carolina Panthers,-37.8
207,1281353d-7730-4e35-911a-9ffe172f55f9,Kenny,Golladay,119.6,10.3499125,WR57,WR,NY Giants,-87.4
208,1378a6fa-8e15-4230-9b17-570c81a00241,Kadarius,Toney,100,10.2349045,WR48,WR,NY Giants,-108
209,745849d8-8f74-4924-9f0a-e0d730e8f692,Jamison,Crowder,135.4,10.1845857,WR63,WR,Buffalo Bills,-73.6
210,ebad1e04-5c11-421b-a057-2c5c8347d1d0,Kalif,Raymond,216,9.999650497,WR153,WR,Detroit Lions,6
211,20f0ca69-b8ef-41a9-8744-552c8bf7d6b1,Adam,Thielen,74.3,9.964498497,WR37,WR,Minnesota Vikings,-136.7
212,9585f114-7c13-4990-af67-5eae1b3b007b,Mike,Davis,216,9.850657297,RB96,RB,Baltimore Ravens,4
220,eb9c0f0f-660e-4b82-8766-8265ec9a43a0,Chris,Carson,215.7,9.819332097,RB77,RB,Seattle Seahawks,-4.3
221,84f2bad0-f760-4ff4-be20-de3e64a699c2,Tavon,Austin,216,9.803332097,WR153,WR,Jacksonville Jaguars,-5
222,2a0c82c0-cd74-49fd-87b4-edbd77bd005f,Marvin,Jones,172.2,9.784955097,WR75,WR,Jacksonville Jaguars,-49.8
223,7ec8bba7-c8a5-484d-af71-1275fc75b3d1,Blaine,Gabbert,215.9,9.698457,QB41,QB,Tampa Bay Buccaneers,-7.1
224,a235e57b-7692-49a7-a4b2-231d2f4e6f83,Gerald,Everett,171.2,9.652496497,TE22,TE,Los Angeles Chargers,-52.8
225,1b058ba1-3362-41df-860d-69737b0898f2,Justin,Fields,134.3,9.470475,QB17,QB,Chicago Bears,-90.7
226,d09d3d1c-7471-4e45-9e54-b6acc10a50cd,Jared,Goff,195.2,9.36942,QB26,QB,Detroit Lions,-30.8
227,7a9e3b71-706a-470e-a4c7-ddd9bb10ce2c,Velus,Jones,213.4,9.347579897,WR100,WR,Chicago Bears,-13.6
